"Participant ID","Assigned Kegan Stage","Overall Reasoning","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20"
"S2.1","Stage 2","Driven entirely by self-interest, concrete rewards, avoiding punishment, and instrumental relationships.","S2: Figure out new way for own needs","S2: Benefits me most/least risk","S2: Find workaround to not lose","S2: Get reward and recognition","S2: Only if I get what I need","S2: Avoid getting gigged","S2: Move to next objective","S2: Change tactics to keep winning","S2: Avoid trouble/protect career","S2: Protect self from fallout","S2: Stay off radar/transfer","S2: Avoid punishment from in charge","S2: Huge waste of time","S2: Gets promotion/credit","S2: Keep mouth shut to avoid trouble","S2: Thinks person is sucker","S2: Focus on perks and rank","S2: Learn rules to not fail","S2: Pick better pay/rank","S2: Safest bet to avoid blame"
"S3.1","Stage 3","Meaning-making is embedded in interpersonal relationships, maintaining peace, and gaining external validation from peers.","S3: Ruins trust/people let down","S3: Ask friends/teachers","S3: Hope someone notices effort","S3: Validation from peers","S3: Keep peace/no arguments","S3: Appreciated/seen","S3: Hope remembered fondly","S3: Look to colleagues","S3: Make people happy","S3: Rely on support system","S3: Talk to coworkers/support","S3: Don't let anyone down","S3: Devastating/need reassurance","S3: Validated by praise","S3: Go along/avoid argument","S3: Praise them as good person","S3: Miss community","S3: Need friends to figure out","S3: Ask respected people","S3: Hope for support/reassurance"
"S3.2","Stage 3","Strong reliance on authority figures (parents/advisors) to define right and wrong, seeking to avoid disappointing them.","S3: Disappoint someone","S3: Ask parents/advisor","S3: Let everyone down","S3: Parents proud","S3: Nobody mad at me","S3: Make good impression","S3: Parents say it's best","S3: Ask someone for advice","S3: Keep everyone happy/expectations","S3: Pray family isn't upset","S3: Figure out what supervisor wants","S3: Listen to people who care","S3: Let everyone counting on them down","S3: Boss is happy","S3: Go along/don't make mad","S3: Good person putting others first","S3: Miss them/good impression","S3: Talk to family/mentor","S3: Makes parents prouder","S3: Ask someone in charge for help"
"S3.3","Stage 3","Identity is embedded in professional reputation, organizational standing, and looking competent to leadership.","S3: Reflects terribly/lose respect","S3: VP prefer","S3: Department doesn't look bad","S3: Look in control","S3: Don't look bad to leadership","S3: Flawless/think highly of me","S3: Expected of you to move up","S3: Scramble before boss notices","S3: Visible to VP","S3: Terrified of mistake reflecting on me","S3: Get back in good graces","S3: Maintain reputation with bosses","S3: Humiliating/messed up","S3: Validated by leadership","S3: Go along/be team player","S3: Team's reputation first","S3: Remembered well/good impression","S3: Adjust so not out of touch","S3: Respect from peers","S3: Worry about looking incompetent"
"S3.4","Stage 3","Meaning revolves around loyalty to a specific group (squad/military), brotherhood, and not letting comrades down.","S3: Let someone down/hurts","S3: Mad no matter what","S3: Failed as leader to squad","S3: Celebrate as team","S3: Neither side hates me","S3: Doing exactly what expected","S3: Leaving friends/bonds","S3: Look to leadership/peers","S3: Torn between friend and duty","S3: Hope I don't get blamed","S3: Betrayed by chain of command","S3: Torn trying to please everyone","S3: Let team and boss down","S3: Made everyone proud","S3: Keep quiet/don't cause trouble","S3: Loyalty and brotherhood","S3: Miss the people served with","S3: Keep people together/follow orders","S3: Don't want to disappoint","S3: Ask buddies/commander"
"S4.1","Stage 4","Self-authored meaning system driven by internal values, core principles, and taking responsibility for own path.","S4: Align with values","S4: Core principles","S4: Adjust strategy","S4: True to own goals","S4: Negotiate details not core","S4: Reflect personal beliefs","S4: Authentic","S4: Author new approach","S4: Internal compass","S4: Control own reaction","S4: Advocate right vs authority","S4: Decide for self","S4: Take responsibility","S4: True to own vision","S4: Stand by values","S4: Strength of character/convictions","S4: Author next chapter","S4: Define new truth","S4: Personal identity","S4: Trust internal framework"
"S4.2","Stage 4","Demonstrates systemic self-authorship, focusing on objective boundaries, internal standards, and managing internal states.","S4: Underlying alignment","S4: Core principles/objectives","S4: Recalibrate approach","S4: Internal satisfaction","S4: Violates core principles","S4: Model clear communication","S4: Process transition","S4: Update operating system","S4: Strategic priorities","S4: Manage internal state","S4: Objective facts/internal narrative","S4: Define boundaries","S4: Feedback to refine","S4: Effective system","S4: Grounded in principles","S4: Healthy boundaries","S4: Life trajectory","S4: Restructure understanding","S4: Authentic self","S4: Guiding principles"
"S4.3","Stage 4","Focuses on structural systemic design, organizational strategy, and self-authored problem-solving frameworks.","S4: Impact on objectives","S4: Core values/strategy","S4: Systemic flaws/process","S4: Validates framework","S4: Protect core principles","S4: Modeling standards","S4: Organizational growth","S4: Redesign process","S4: Overarching goals","S4: Resilient systems","S4: Assess bias vs flaw","S4: Articulate boundary","S4: Structural reasons","S4: Replicate success systemically","S4: Independent judgment","S4: Commitment to values/mission","S4: Next phase of development","S4: Re-evaluation of frameworks","S4: Self-authored path","S4: Internal principles"
"S4.4","Stage 4","Strong internal compass emphasizing boundaries, independent judgment, and identity separate from outcomes.","S4: Adjust expectations/boundaries","S4: Align with long-term goals","S4: Assess next move","S4: True to process","S4: Protect core principles","S4: Internally driven motivation","S4: Personal growth","S4: Reassess methods","S4: Overall vision and values","S4: Grounded in what I control","S4: Advocate for themselves","S4: Internal compass","S4: Extract lessons","S4: Worth isn't solely outcome","S4: Stand by principles","S4: Made freely/not martyrdom","S4: Core identity remains","S4: Construct new understanding","S4: Trajectory evaluation","S4: Trust judgment/accept responsibility"
"S4.5","Stage 4","Self-authored leadership characterized by holding internal standards, accountability, and mission-first philosophy.","S4: Own standards/accountable","S4: Leadership philosophy","S4: Take responsibility/adjust","S4: Affirms sticking to principles","S4: Never compromise core values","S4: Lead by example","S4: Responsibilities/goals","S4: Align with objectives","S4: Serves mission/character","S4: Executing duties/integrity","S4: Advocate staying true to values","S4: Self-authored convictions","S4: Own failure/protect identity","S4: Effective leadership approach","S4: Internal standard of right","S4: Higher purpose above comfort","S4: Take responsibility in next chapter","S4: Update perspective/anchor values","S4: Personal philosophy","S4: Trust internal judgment"
"S5.1","Stage 5","Interindividual awareness seeing limits of paradigms, seeking synthesis, and embracing interconnected systemic complexities.","S5: Systemic pressures","S5: Third paradigm/synthesis","S5: Blind spot in model","S5: New complexities","S5: Transcend disagreement","S5: Expose assumptions","S5: Complex realities","S5: Reimagined container","S5: Biased framework","S5: Adapting vs forcing","S5: Value systems clash","S5: Synthesis/interdependent","S5: Dismantle assumptions","S5: Temporary equilibrium","S5: Test blind spots","S5: Interconnectedness/fluid boundaries","S5: Disembed identity","S5: Beliefs limit capacity","S5: Examine lenses of meaning","S5: Adapt and evolve"
"S5.2","Stage 5","Self-transforming approach embracing the fluidity of boundaries, co-creation, and the continual reshaping of reality.","S5: Relationship evolve","S5: Integrate larger whole","S5: Reality shape perspective","S5: Who I have become","S5: Co-create solution","S5: Co-create shared awareness","S5: Next iteration of who we are","S5: Let go of old system","S5: Growth of whole system","S5: Illusion of separate self","S5: Lens of needs vs complex system","S5: Interconnected dynamic","S5: Reshape understanding","S5: Transforming together","S5: Introduce necessary tension","S5: Permeability of boundaries","S5: Fundamentally rewritten","S5: Fluid beliefs update by reality","S5: Broader context vs isolated desires","S5: Transformed by consequences"
