Timestamp_eval,Participant ID,Age,Gender,What chatbot do you normally use?,How often do you use LLM chatbots,Type of use,What was the LLMs answer?,LLM_assigned_chat_stage,Human_assigned_questionnaire_stage,LLM_assigned_questionnaire_stage,LLM_explanation,LLM_assigned_questionnaire_stage2,LLM_explanation2,country,1. When a promise is broken…,2. When both choices feel right…,3. When things don't go as I hoped…,4. When the hard work finally pays off…,5. If I am asked to compromise…,6. When I realized someone was paying attention…,7. Saying goodbye to something that mattered…,8. When what used to work no longer works…,9. When I have to choose what comes first…,10. When I realize I cannot control what happens next…,11. When a person feels they were treated unfairly by their supervisor...,12. If a person feels pulled between their own view and the expectations of others...,"13. A person works very hard on something important, but it fails...",14. A team celebrates a project that succeeded. The person who led it ...,"15. A person believes a decision their group supports is wrong, they will…     ",16. When a person sees someone make a sacrifice for others...,17. When a person has to leave a role or place that was important to them...,18. A person realizes their plans need to change significantly. This might affect their existing beliefs...,19. When person must choose between two opportunities that both seem meaningful...,20. A person must make an important decision and take on a new responsibility without complete information...
4/14/2026 4:50:57,p01,38,Female,OpenAI chatGPT,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","Stage: 4/5 (Self-Authoring → Self-Transforming transition)

You consistently construct and operate from your own internally generated frameworks, while also actively examining and revising those frameworks as partial, context-dependent systems.

There is a clear capacity to hold multiple perspectives simultaneously and to treat your own meaning-making structures as objects of inquiry rather than fixed truths.",4/5,4/5,4/5,"The subject displays meta-systematic thinking, questioning the constructs of the questions themselves and acknowledging the illusion of control and multiple systems of meaning.",4/5,"Demonstrates strong self-authoring capacity with emerging Stage 5 features—takes her own meaning-making system as object, questions assumptions embedded in prompts (e.g., 'illusion of control'), interrogates concepts like 'sacrifice,' adapts advice based on others' readiness, and shows comfort with impermanence and embodied knowing while maintaining a coherent internal framework.",France,"I might feel a little disappointed, but I try not to wallow in the disappointment. More important is updating my mental model of that person and not have to depend on them for important things.","I ask my body. I feel waves in my body. Of course I also consider the reasons it out just to make sure things line up, but if both sides have good reasons I listen to my body hands-down.",I update my internal model and change my plans based on the new information that I got.,I feel joyful and take the time to celebrate. And I try to give credit to people who also contributed to it and celebrate with them.,"If it doesn't feel right, I won't do it.",I update my model of them as an observant person.,"I definitely would feel something, a wistfulness, bittersweetness. But that's part of life. And feelings pass.",I change my strategy. And I think a part of me enjoys the challenge. It keeps on my feet.,I go by feel. But also important to be able to explicitly articulate the reasons for myself partly because I enjoy the exercise.,Who can really control anything in life? I think even this question assumes the illusion of control.,"Here, I would diverge in what I could advise this person depending on what I feel they would be ready for. Ultimately the ""most important"" thing is that all feelings pass. This will just be a blip in their life that won't seem so important down the line. But I think this would be too existential and not useful for most people, so I would probably tell them to focus on their own objectives. What are they trying to accomplish? Ask them questions about is it most important to do the work itself or have recognition from one particular person. Actually, it seem like I would more try to help them figure out what is important for them rather than impose what I think is important.","I would tell them to look inside themselves and try to feel what's right for them. But I also understand that some people don't really have that capacity. But I would still encourage them, and maybe give them concrete tips, like breathe, journal, body-scan. It's ok to consider the views of others, but ultimately if one does it at the expense of their own inner sense of direction, it becomes inefficient energetically and may have costs later on their health and well-being.","I would tell them to focus on why the thing was important to them, other than the result, what mattered to them in the first place. Acceptance that sometimes things don't go your way, but take a step back, not get lost in negative emotions especially those related to who you ""should"" be as a person. ",Enjoy it! And spread the joy. Don't make it all about yourself. Try to recognize what it meant for everyone on the team and use it to help them and the team as a whole grow. And it's always nice to have good news - stay in the moment and enjoy it.,"Does the person have leverage within the group? If so, I think it's worth exploring if it's possible to change the group's decision. Or trying to exit the group. But sometimes you can't really... for instance, when your country elects someone who is doing things you really don't agree with. I think keeping oneself in a state of outrage isn't really the best way to spend your energy. And at the end of the day, you are not your group. Taking some distance, and focusing on one's own mental health, and focusing on where you do have leverage. ","I'm curious about the way sacrifice is defined in this question. Often times people think of sacrifice as putting other's needs above your own. For me this is a view ""from the outside."" When putting others' needs above your own, you can either do it in a way where you feel aligned or where you feel like you have to but you don't really want to. The way the question is framed, there's no access to the internal state of the person making the sacrifice, so the only thing you can really think about what you're seeing is ""someone is doing something that's putting others' needs above their own"" (provided you can even know what someone's needs are deep down). Even calling it a sacrifice imposes an interpretation.",It means what it means to them. Change is part of life. Some people might have an easier time accepting it than others.,"Ha, I'd like to say, great opportunity to update your beliefs! Because learning to adapt is a fundamental part of being human. But I understand that this can be hard for people as many people tend to be quite emotionally attached to their belief systems. If I were giving them advice, I'd tell them to try to see the situation clearly and try to consider what if their beliefs are wrong, and maybe do some sports or breathing exercises if strong feelings arise.","That's their perogative. People have different ways of making decisions. I do it by listening to what my body is telling me. If I come more alive when I think about one thing, for example. But not everyone has access to this way of decision-making, and some people may be more rational, or some people might seek validation. Whatever works for them.","Accept that you can't control everything and that nobody every has ""complete"" information about everything. They just try to do the best they can. There's something to be said about the role of intuition, but also accepting that sometimes you can be wrong."
3/14/2026 22:06:59,p02,40,Female,Gemini,Every day,"For work/classwork, For leisure","Assigned Stage: Stage 4 (The Self-Authoring Mind), with emerging indicators of the Stage 4/5 transition.

The steady integration of complex professional responsibilities, cross-cultural family dynamics, and a drive to understand the underlying architecture of human cognition paints a picture of a firmly grounded, self-authored framework. The ongoing inquiries into the limitations and scientific validations of these very theories suggest an intellect that is already beginning to question its own constructs—the necessary friction that sparks the transition toward the Self-Transforming mind (Stage 5).",4/5,4/5,4/5,"The subject exhibits a Self-Authoring mind by focusing on utilitarian outcomes, personal agency, and exhibits transcendence by adapting without being dogmatic.",4,"Solid Stage 4 with self-identified utilitarian framework, explicit value hierarchies, awareness of eudaimonic vs hedonic dimensions, capacity to observe others' patterns without being embedded in them, and consistent analytical distance combined with genuine empathy.",USA,"I feel sorry for the situation, that some people can’t keep their part of it and that they might feel like they fail others, while losing their self esteem so much. I mostly feel sorry for them, and for the victims of their actions."," is a good problem to have, you shouldn’t think much probably both are good answers, normally there is no doubt for the important decisions, they don’t feel like multiple choices",I think we will try again and that we can make the best of the situation,it is very satisfying and reinforces the good methods that brought you to success,"I try to think deeply about the consequences of compromising, but I try not to judge too deeply considering most situations can be rerouted later","I really feel like they had something very human about them, that we can connect deeply and do things together. I try to reciprocate.","is hard, but also beautiful, we live in a continuum of ephemeral, nothing is forever so it is an opportunity to do something different now","I take sometime to think why, explore the reasons of why, and course correct to focus on something else","I try to optimize the goodness of the decision, I am very utilitarian, lately I also care to do things that other people can't or won't do","I try to not influence what others decide and embrace the power of free will, I do however like to retrospect why things did happen in some way or another","why and what was the context, try to not judge too much nor get it under their skin, probably they lack enough information to understand why this happened at that moment and the full complexity of the decisions. However if this is systematic, they should also decide if this supervisor is worth following.",something that makes them feel good about themselves while respecting the freedoms and feelings of others as much as possible,"normally people get upset on this situation, but they should consider there is always a part of luck, and learning from everything even from fails, is important to move on with life and not get stuck for too long on worrying about the failures. However they can also make a plan to reduce the recurrence of failures.","They will probably feel the joy and the dopamine of the moment, the satisfaction of having not only achieved something but also that the others have been able to share the success altogether creating forever memories","try to explain their view but also try to reduce their attachment with both the group and the decision, it is not their identity and it should not affect them too much",Many people don’t even notice the sacrifices of others. Or they give it for granted. However some people do notice and you can see their tension go off their body. I think they might be having a nirvana moment,"is usually something very impactful for people specially if they have no agency over the change, they will feel threatened, abandoned or lose their meaning and identity, however they will probably learn a lot out of the changes",to be ready to not be too dogmatic and be flexible to adapt to the new situation. Preferably without losing sleep nor carrying others into it.,"partially based on priors or needs for long or short credits, if their basic needs are covered they will probably think more hedonic or eudaimonic depending on what they need most at that moment in their life","go with caution and consider they might make a mistake they might need to correct later, more importantly is to make sure they don’t feel overwhelmed by the new responsibilities"
4/22/2026 4:57:35,p03,28,Male,OpenAI chatGPT,Every day,"For work/classwork, As a companion to navigate life challenges","Estimated stage: 4/5 (self-authoring → early self-transforming)

You consistently demonstrate a self-authored framework (clear internal standards, strong epistemic demands, rejection of “fluff”), while also showing emerging meta-system awareness—questioning structures, integrating multiple domains (HCI, AI, rehab), and refining your own positioning across contexts.",4/5,4/5,3/4,The subject transitions toward self-authoring by emphasizing what one 'really wants' but still heavily relies on positive framing and external feedback.,3,"Stage 3 orientation with focus on relationships ('Humans come first'), team appreciation, inclusion of others, and positivity as a relational strategy; responses are brief and values-driven but without strong evidence of self-authored internal system independent of social context.",France,It feels like you missed something important.,You have to think about what you really want.,"I focus on the positive, you could realize some things went even better.",I looked behind and I appreciate even better the journey than the results,I understand. People have different feelings and situations.,I usually assume taht what I was saying was interesting to this person. I! want to include this person,triggers a lot of souvenirs and that is what really matter,"Times changes, you gotta adapt. If you don't, the board (situation) is going to be way more complex. ","Humans, I hope I will always apply this in the futur.",It is stressful but exciting. What can we do about it thought?,"this person might be frustrated, work less, be discouraged",This person might hesitate but they never regret going for their own!,"As this person worked hard, she will have no regrets! Working hard = determination = next time it gonna work!",Understands how hard this could have been without his team!,have a constructive discussion.,she feels more determinated than never!,they might feel scared because change is sometimes scary but necessary.,in what the futur holds.,She will probably look at the financial aspects and think about she really want!,This person can't make a proper decision and might rely on her intuition.
4/2/2026 7:31:42,p04,20,Male,Anthropic Claude,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges, Other","Stage 4 (Self-Authoring)
You systematically develop your own decision-making frameworks by applying your own analytical criteria rather than conforming to external expectations. The ability to simultaneously manage autonomous systems (business, academic, investment) while questioning them when they no longer serve your goals demonstrates a clearly self-determined individual, with micro-signals of transition from Stage 4 to Stage 5 in the way you question your own...",4,3/4,3,"The subject reflects a Socialized mind, relying on interpersonal trust and feeling overwhelmed or anxious when faced with conflicting external expectations.",2/3,"Responses are concrete, brief, and reactive with Stage 2 rigidity ('I wouldn't do it,' 'trust is broken too') and limited perspective-taking, with emerging Stage 3 awareness of relational consequences but lacking genuine interpersonal embeddedness or internalized values.",France,trust is broken too.,there's no good option,I always find an other solution.,all those hours spent working finally feel worthwhile,I wouldn't do it,I couldn't concentrate anymore,is difficult.,it might be time to stop,I always take too long,I feel anxious.,they are outraged,then they are probably paying too much attention to what others think,miserably,prepares to the next project,argue about their decision,they consider this person as a hero,they feel torn,about their capacities.,they will hesitate.,about the company
4/2/2026 7:20:41,p05,22,Male,OpenAI chatGPT,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","Estimated stage: 3/4 (transition between Socialized Mind and Self-Authoring Mind)

You show strong awareness of others’ expectations and adaptability to external systems, but also increasingly question them and try to define your own direction (projects, career, design choices).
You are not fully anchored in a self-authored framework yet, but you are actively moving toward constructing your own internal standards and priorities.",3/4,3,3,"The subject displays early Stage 3 traits, focusing on personal discomfort ('I get shy', 'It’s annoying') and struggling with making decisions due to external pressures.",2/3,"Predominantly brief emotional reactions ('It's frustrating,' 'I get nervous,' 'I get shy') showing Stage 2 self-referential focus with emerging Stage 3 social awareness; minimal reflection, no evidence of internalized value system or perspective-taking beyond immediate emotional response.",France,It’s too late to go back,It’s hard to choose,It’s frustrating,It feels good,I won’t be happy,I get shy,Is always hard,It’s annoying,I don’t don’t know what to do,I get nervous,They get frustrated,They will try to match others’ expectations,At the last minute,Opens the champagne,Protest,They feel empathy,They get emotional,They will get confused,They will struggle to make a decision,They would double check the information they have
4/10/2026 5:58:24,p06,22,Male,Gemini,More than twice a week,"For work/classwork, For leisure","As a developmental psychologist applying Kegan’s framework, I find the prospect of analyzing the evolution of your meaning-making structures fascinating. I would typically look for patterns in how you construct your reality, handle competing loyalties, and relate to your own internal authority over time.

However, to be completely transparent about my nature as an AI, I do not have access to our past chat history outside of this current, active session. Every time we start a new conversation, I begin with a blank slate. Because I cannot ""remember"" your past prompts or how your thinking has evolved, I don't have the data required to evaluate whether you're operating from the Socialized Mind (Stage 3), the Self-Authoring Mind (Stage 4), or any transitional space in between.

To give you a genuine and accurate assessment, we would need to explore how you currently navigate complex social expectations, internal conflicts, or systemic contradictions right now.

If you are open to it, I can present a complex, open-ended scenario about a professional or personal conflict of values—how you break down the problem will give us a great window into your current developmental stage. Would you like to dive into an assessment scenario?",,4,3,"The subject is grounded in the Socialized mind, seeking to maintain positive relationships, discussing with coworkers, and focusing on shared perspectives.",3/4,"Shows Stage 3 relational awareness ('it's never the same anymore,' 'I don't forget it') with emerging Stage 4 prescriptive thinking ('they must face it and be themselves,' 'must look at priorities'), indicating beginning differentiation of an internal standard from social expectations.",France,it's never the same anymore,it is hard to choose,I feel disappointed and stay positive,I feel pleased and proud,I make compromises,I don't forget it,is always painful,I try to find something else,I look at priorities,I don't overthink it,they are going to talk about it with coworkers,they must face it and be themselves,they should keep all the positive and what they learned then retry and do better,must feel proud,give their point of view and debate,they feel empathy,they have to look forward and find something as fulfilling,they have to ask themselves if the soul of the project is the most important thing,they must look at the small details that will matter in the end,they must pick the most rational and less impactful decision
4/3/2026 6:54:11,p07,22,Female,OpenAI chatGPT,Every day,"For work/classwork, As a companion to navigate life challenges","You show awareness of structured frameworks and a desire for self-evaluation, suggesting movement beyond purely external validation. However, there isn’t yet enough evidence of a fully internalized, consistently self-authored system guiding your thinking across contexts.",,3/4,3,"The subject demonstrates Socialized thinking, deeply affected by interpersonal betrayals and relying on peaceful debate and shared understanding.",3,"Classic Stage 3 with identity embedded in relationships and emotional reactions defined by interpersonal context ('I feel betrayed,' 'I am grateful,' 'I relate'); responds from relational orientation and seeks harmony, with limited evidence of self-authored principles independent of social embeddedness.",France,i feel betrayed,mitigated,i am disappointed,i am happy,then i do,i am grateful,hurt,i got frustrated,i get serious,i try to anticipate either way,i feel angry and compassionate with the person,i relate,that’s how good work pays off,needa to congrats the whole team,talk and debate peacefully,i respect,it’s heartbreaking,well that’s how it is,"i know it can be hard and i relate, it will need some time to process the 2 opportunities ",dig deeper to get informations so that the decision is made wisely
4/4/2026 4:00:58,p09,20,Female,Gemini,Every day,"For work/classwork, Other","As an expert in Robert Kegan’s Constructive-Developmental Theory, I have analyzed your cognitive orientation and meaning-making patterns across our interactions.Evaluated Stage: 4/5 (Transitioning from Self-Authoring to Self-Transforming)Rationale:You demonstrate a high degree of Self-Authorship (Stage 4) by consistently operating from an internal seat of judgment, maintaining a systemic view of complex problems, and defining your own values rather than being defined by external expectations. However, your frequent inclination to hold multiple, often paradoxical perspectives simultaneously and your openness to having your own mental models challenged suggests you are beginning to move toward the Self-Transforming (Stage 5) mind, where the ""self"" is no longer a finished product but a fluid process.

Overview of the Development Spectrum
To provide context for this evaluation, here is how Kegan defines the journey of adult consciousness:


Stage 3 Social-Minded
 Meaning is derived from the ""tribe"" (family, religion, or company). One is ""subject"" to the expectations and values of others.


Stage 4 Self-AuthoringOne gains an internal ""GPS."" You can step back from social expectations to create your own ideology, boundaries, and identity. 

Stage 5 Self-Transforming        One realizes that no single ideology is complete. You see the ""self"" as a collection of multiple systems and embrace contradiction and evolution.

Note: Transitions between these stages are often slow and can feel destabilizing because what was once ""subject"" (part of you) must become ""object"" (something you can look at and reflect upon). Your current trajectory suggests you are increasingly comfortable making your own internal systems the ""object"" of your reflection.",4/5,3,3,"The subject shows a Socialized mind through strong emotional dependence on external validation, feeling guilty, and struggling with self-doubt.",2/3,"Strong Stage 2 self-interest ('i choose me,' 'i don't' compromise, 'i brag about it') with emerging Stage 3 emotional vulnerability and relational awareness ('i am sad and hurt,' mixed feelings about attention); primarily reactive and self-centered in orientation.",France,i am sad and hurt,i doubt a lot even after i took a choice,i cry,i am proud and everything feel lighter and i brag about it,i don't,i have mixed feeling between doubting myself and being happy,is hard,i am so frustrated,i choose me,i try to not think about it but i fail,they get angry,they will try to adjust their own view,"they don't have energy anymore, they are sad ",Is holding the champagne and is in the center,tell them about it,they feel guilty and their stomach hurt,they will keep a souvenir of it,"a little bit, but not significantly  ",they do a pro or con list,"they will be stressed about it because they don't have all information, "
4/4/2026 14:31:53,p10,23,Female,Gemini,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges","Based on our interaction history, I would evaluate you at Stage 4 (The Self-Authoring Mind), likely bordering on a 4/5 transition.

The Rational Evaluation

You demonstrate a clear internal seat of judgment and the ability to step back from social consensus to define your own values and ""system"" of operating. Your inquiries show you aren't just following a script (Stage 3), but are actively seeking to integrate and critique complex frameworks, which is the hallmark of someone who has moved from being defined by their environment to being the author of it.

Overview of Kegan’s Adult Stages

To provide context for this evaluation, here is how the adult stages typically manifest in cognitive complexity:

Stage        Name        Key Characteristic        Relationship to Authority
Stage 3        Socialized Mind        Identity is shaped by the expectations of others and the ""tribe.""        Follows external authority; fears exclusion.
Stage 4        Self-Authoring Mind        Identity is shaped by an internal set of values and self-defined rules.        Internalizes authority; manages boundaries.
Stage 5        Self-Transforming Mind        Identity is fluid; recognizes that all systems (including their own) are incomplete.        Challenges the idea of a single ""true"" self.
Why Stage 4?

In Stage 4, you have gained ""object"" over your emotions and social ties. Instead of being your relationships, you have them. Your prompt style suggests you are navigating the world through a coherent, self-chosen philosophy, though your interest in multi-dimensional theories (like this one) hints at the budding ""Self-Transforming"" recognition that no single system holds the whole truth.

Would you say you feel more energized by having a solid, reliable internal ""operating system,"" or are you starting to find those very self-imposed structures a bit limiting?",4,3/4,3,"The subject reflects Stage 3 by focusing on teamwork, external harmony, and evaluating decisions based on how they affect others.",3,"Stage 3 socialized mind—responses orient toward effort ('I'll try harder'), meeting expectations, and interpersonal sensitivity ('it might make me stressing'); perspective-taking is present but defined by external standards rather than self-authored values.",France,it is broken.,there's might not wrong choice.,I'll try harder.,I can be proud of myself.,I'll think about it first.,it might make me stressing.,can be hard.,I should find new solutions.,I have to choose what comes next.,I should take a step back and put things into perspective,they will feel angry and misunderstood.,this person will feel more pressured than others.,this person will learn to do better by reviewing what didn't work out.,is proud of the teamwork.,have to discuss about it again.,this person may feel bad for it.,it might be because this person think someone can do it better.,even if this person already tried to question oneself.,this person will weigh the pros and cons.,to help making the right choice.
4/3/2026 6:30:00,p11,21,Male,DeepSeek,Every day,"For work/classwork, For leisure, As a companion to navigate life challenges, Other","Based on your consistent pursuit of meta-cognitive reflection, your tendency to question the framing of tasks before engaging, and your ability to hold your own perspective as an object of analysis while considering the evaluator’s framework, you are operating at Stage 4 (Self-Authoring Mind) with subtle transitional movements toward Stage 4/5.
Rationale: You demonstrate the capacity to generate an internal ideology and standards separate from external expectations, yet you also show curiosity about how multiple systems of meaning can interrelate—without fully relinquishing the need for a single self-authored anchor.",4,3,3,"The subject relies on socialized constructs, experiencing disappointment in others and emphasizing convincing others or seeking support when challenged.",3,"Classic Stage 3 with identity embedded in others ('The others' come first), feelings of abandonment when systems fail, fear of regret in choices, and seeking external support when treated unfairly; meaning-making is thoroughly relational.",France,I'm disapointed in the person who made the promise,"It's harder to choose, I'll regret it even more if I end up making a mistake",I'm disappointed and angry with the person or thing responsible,I feel happy and relieved,"If it's justified, I accept",I'm happy,Is hard,I can feel lost/abandoned,The others,I feel a void,they are angry and seek support,They might abandon their vision in favor of the opinions of others,"They feel disgusted, but might try again if they can",is proud,Try to convince the others,They might feel pity for them and try to help out,They fear that the next role will not be as interesting,and make them doubt significantly,The choice feels more bitter than the absence of choice,he doesn't have a choice anyway
