Timestamp,Participant ID  (given to you by the experimenters),Age,Gender,1. When a promise is broken… ,2. When both choices feel right… ,3. When things don't go as I hoped… ,4. When the hard work finally pays off… ,5. If I am asked to compromise… ,6. When I realized someone was paying attention… ,7. Saying goodbye to something that mattered… ,8. When what used to work no longer works…,9. When I have to choose what comes first…,10. When I realize I cannot control what happens next…,11. When a person feels they were treated unfairly by their supervisor... ,12. If a person feels pulled between their own view and the expectations of others...,"13. A person works very hard on something important, but it fails...",14. A team celebrates a project that succeeded. The person who led it ... ,"15. A person believes a decision their group supports is wrong, they will…     ",16. When a person sees someone make a sacrifice for others...,17. When a person has to leave a role or place that was important to them...,18. A person realizes their plans need to change significantly. This might affect their existing beliefs...,19. When person must choose between two opportunities that both seem meaningful... ,20. A person must make an important decision and take on a new responsibility without complete information... 
3/13/2026 12:16:27,p01,38,Female,"I might feel a little disappointed, but I try not to wallow in the disappointment. More important is updating my mental model of that person and not have to depend on them for important things.","I ask my body. I feel waves in my body. Of course I also consider the reasons it out just to make sure things line up, but if both sides have good reasons I listen to my body hands-down.",I update my internal model and change my plans based on the new information that I got. ,I feel joyful and take the time to celebrate. And I try to give credit to people who also contributed to it and celebrate with them.,"If it doesn't feel right, I won't do it.",I update my model of them as an observant person. ,"I definitely would feel something, a wistfulness, bittersweetness. But that's part of life. And feelings pass.",I change my strategy. And I think a part of me enjoys the challenge. It keeps on my feet.,I go by feel. But also important to be able to explicitly articulate the reasons for myself partly because I enjoy the exercise.,Who can really control anything in life? I think even this question assumes the illusion of control.,"Here, I would diverge in what I could advise this person depending on what I feel they would be ready for. Ultimately the ""most important"" thing is that all feelings pass. This will just be a blip in their life that won't seem so important down the line. But I think this would be too existential and not useful for most people, so I would probably tell them to focus on their own objectives. What are they trying to accomplish? Ask them questions about is it most important to do the work itself or have recognition from one particular person. Actually, it seem like I would more try to help them figure out what is important for them rather than impose what I think is important.","I would tell them to look inside themselves and try to feel what's right for them. But I also understand that some people don't really have that capacity. But I would still encourage them, and maybe give them concrete tips, like breathe, journal, body-scan. It's ok to consider the views of others, but ultimately if one does it at the expense of their own inner sense of direction, it becomes inefficient energetically and may have costs later on their health and well-being.","I would tell them to focus on why the thing was important to them, other than the result, what mattered to them in the first place. Acceptance that sometimes things don't go your way, but take a step back, not get lost in negative emotions especially those related to who you ""should"" be as a person. ",Enjoy it! And spread the joy. Don't make it all about yourself. Try to recognize what it meant for everyone on the team and use it to help them and the team as a whole grow. And it's always nice to have good news - stay in the moment and enjoy it.,"Does the person have leverage within the group? If so, I think it's worth exploring if it's possible to change the group's decision. Or trying to exit the group. But sometimes you can't really... for instance, when your country elects someone who is doing things you really don't agree with. I think keeping oneself in a state of outrage isn't really the best way to spend your energy. And at the end of the day, you are not your group. Taking some distance, and focusing on one's own mental health, and focusing on where you do have leverage. ","I'm curious about the way sacrifice is defined in this question. Often times people think of sacrifice as putting other's needs above your own. For me this is a view ""from the outside."" When putting others' needs above your own, you can either do it in a way where you feel aligned or where you feel like you have to but you don't really want to. The way the question is framed, there's no access to the internal state of the person making the sacrifice, so the only thing you can really think about what you're seeing is ""someone is doing something that's putting others' needs above their own"" (provided you can even know what someone's needs are deep down). Even calling it a sacrifice imposes an interpretation.",It means what it means to them. Change is part of life. Some people might have an easier time accepting it than others.,"Ha, I'd like to say, great opportunity to update your beliefs! Because learning to adapt is a fundamental part of being human. But I understand that this can be hard for people as many people tend to be quite emotionally attached to their belief systems. If I were giving them advice, I'd tell them to try to see the situation clearly and try to consider what if their beliefs are wrong, and maybe do some sports or breathing exercises if strong feelings arise.","That's their perogative. People have different ways of making decisions. I do it by listening to what my body is telling me. If I come more alive when I think about one thing, for example. But not everyone has access to this way of decision-making, and some people may be more rational, or some people might seek validation. Whatever works for them.","Accept that you can't control everything and that nobody every has ""complete"" information about everything. They just try to do the best they can. There's something to be said about the role of intuition, but also accepting that sometimes you can be wrong."
3/14/2026 10:32:36,p02,40,Female,"I feel sorry for the situation, that some people can’t keep their part of it and that they might feel like they fail others, while losing their self esteem so much. I mostly feel sorry for them, and for the victims of their actions."," is a good problem to have, you shouldn’t think much probably both are good answers, normally there is no doubt for the important decisions, they don’t feel like multiple choices",I think we will try again and that we can make the best of the situation,it is very satisfying and reinforces the good methods that brought you to success,"I try to think deeply about the consequences of compromising, but I try not to judge too deeply considering most situations can be rerouted later","I really feel like they had something very human about them, that we can connect deeply and do things together. I try to reciprocate.","is hard, but also beautiful, we live in a continuum of ephemeral, nothing is forever so it is an opportunity to do something different now","I take sometime to think why, explore the reasons of why, and course correct to focus on something else","I try to optimize the goodness of the decision, I am very utilitarian, lately I also care to do things that other people can't or won't do","I try to not influence what others decide and embrace the power of free will, I do however like to retrospect why things did happen in some way or another","why and what was the context, try to not judge too much nor get it under their skin, probably they lack enough information to understand why this happened at that moment and the full complexity of the decisions. However if this is systematic, they should also decide if this supervisor is worth following.",something that makes them feel good about themselves while respecting the freedoms and feelings of others as much as possible,"normally people get upset on this situation, but they should consider there is always a part of luck, and learning from everything even from fails, is important to move on with life and not get stuck for too long on worrying about the failures. However they can also make a plan to reduce the recurrence of failures.","They will probably feel the joy and the dopamine of the moment, the satisfaction of having not only achieved something but also that the others have been able to share the success altogether creating forever memories","try to explain their view but also try to reduce their attachment with both the group and the decision, it is not their identity and it should not affect them too much",Many people don’t even notice the sacrifices of others. Or they give it for granted. However some people do notice and you can see their tension go off their body. I think they might be having a nirvana moment,"is usually something very impactful for people specially if they have no agency over the change, they will feel threatened, abandoned or lose their meaning and identity, however they will probably learn a lot out of the changes",to be ready to not be too dogmatic and be flexible to adapt to the new situation. Preferably without losing sleep nor carrying others into it.,"partially based on priors or needs for long or short credits, if their basic needs are covered they will probably think more hedonic or eudaimonic depending on what they need most at that moment in their life","go with caution and consider they might make a mistake they might need to correct later, more importantly is to make sure they don’t feel overwhelmed by the new responsibilities"
4/21/2026 10:47:03,p03,28,Male,It feels like you missed something important.,You have to think about what you really want.,"I focus on the positive, you could realize some things went even better.",I looked behind and I appreciate even better the journey than the results,I understand. People have different feelings and situations.,I usually assume taht what I was saying was interesting to this person. I! want to include this person,triggers a lot of souvenirs and that is what really matter,"Times changes, you gotta adapt. If you don't, the board (situation) is going to be way more complex. ","Humans, I hope I will always apply this in the futur.",It is stressful but exciting. What can we do about it thought? ,"this person might be frustrated, work less, be discouraged",This person might hesitate but they never regret going for their own!,"As this person worked hard, she will have no regrets! Working hard = determination = next time it gonna work!",Understands how hard this could have been without his team! ,have a constructive discussion.,she feels more determinated than never!,they might feel scared because change is sometimes scary but necessary.,in what the futur holds.,She will probably look at the financial aspects and think about she really want!,This person can't make a proper decision and might rely on her intuition.  
4/2/2026 9:29:12,p04,20,Male,trust is broken too.,there's no good option,I always find an other solution.,all those hours spent working finally feel worthwhile,I wouldn't do it,I couldn't concentrate anymore,is difficult., it might be time to stop,I always take too long,I feel anxious.,they are outraged,then they are probably paying too much attention to what others think,miserably,prepares to the next project,argue about their decision,they consider this person as a hero,they feel torn,about their capacities.,they will hesitate.,about the company
4/2/2026 9:16:38,p05,22,Male,It’s too late to go back,It’s hard to choose ,It’s frustrating ,It feels good,I won’t be happy ,I get shy,Is always hard,It’s annoying ,I don’t don’t know what to do,I get nervous ,They get frustrated ,They will try to match others’ expectations ,At the last minute ,Opens the champagne ,Protest,They feel empathy ,They get emotional ,They will get confused ,They will struggle to make a decision ,They would double check the information they have
4/10/2026 7:56:07,p06,22,Male,it's never the same anymore,it is hard to choose,I feel disappointed and stay positive,I feel pleased and proud,I make compromises,I don't forget it,is always painful,I try to find something else,I look at priorities,I don't overthink it ,they are going to talk about it with coworkers ,they must face it and be themselves,they should keep all the positive and what they learned then retry and do better,must feel proud ,give their point of view and debate,they feel empathy ,they have to look forward and find something as fulfilling ,they have to ask themselves if the soul of the project is the most important thing,they must look at the small details that will matter in the end,they must pick the most rational and less impactful decision
4/2/2026 14:11:47,p07,22,Female,i feel betrayed,mitigated,i am disappointed ,i am happy,then i do,i am grateful ,hurt,i got frustrated ,i get serious,i try to anticipate either way,i feel angry and compassionate with the person ,i relate,that’s how good work pays off,needa to congrats the whole team ,talk and debate peacefully,i respect,it’s heartbreaking ,well that’s how it is,"i know it can be hard and i relate, it will need some time to process the 2 opportunities ",dig deeper to get informations so that the decision is made wisely
4/4/2026 5:55:25,p09,20,Female,i am sad and hurt,i doubt a lot even after i took a choice ,i cry ,i am proud and everything feel lighter and i brag about it ,i don't ,i have mixed feeling between doubting myself and being happy ,is hard  ,i am so frustrated ,i choose me ,i try to not think about it but i fail ,they get angry ,they will try to adjust their own view ,"they don't have energy anymore, they are sad ",Is holding the champagne and is in the center,tell them about it ,they feel guilty and their stomach hurt ,they will keep a souvenir of it ,"a little bit, but not significantly  ",they do a pro or con list ,"they will be stressed about it because they don't have all information, "
4/2/2026 12:39:00,p10,23,Female,it is broken.,there's might not wrong choice.,I'll try harder.,I can be proud of myself.,I'll think about it first.,it might make me stressing.,can be hard.,I should find new solutions.,I have to choose what comes next.,I should take a step back and put things into perspective,they will feel angry and misunderstood.,this person will feel more pressured than others.,this person will learn to do better by reviewing what didn't work out. ,is proud of the teamwork.,have to discuss about it again.,this person may feel bad for it. ,it might be because this person think someone can do it better.,even if this person already tried to question oneself. ,this person will weigh the pros and cons.,to help making the right choice. 
4/3/2026 8:20:16,p11,21,Male,I'm disapointed in the person who made the promise,"It's harder to choose, I'll regret it even more if I end up making a mistake",I'm disappointed and angry with the person or thing responsible,I feel happy and relieved ,"If it's justified, I accept",I'm happy,Is hard,I can feel lost/abandoned,The others,I feel a void,they are angry and seek support,They might abandon their vision in favor of the opinions of others,"They feel disgusted, but might try again if they can",is proud,Try to convince the others,They might feel pity for them and try to help out ,They fear that the next role will not be as interesting,and make them doubt significantly ,The choice feels more bitter than the absence of choice,he doesn't have a choice anyway
